Player,Pos,Squad,Age,Born,MP,Min,90s,CrdY,CrdR
Johan Mojica,DF,co Colombia,33,1992,4,390,4.3,1,0
Teboho Mokoena,MF,za South Africa,29,1997,3,270,3.0,2,0
Nahuel Molina,DF,ar Argentina,28,1998,7,528,5.9,0,0
Jamiro Monteiro,MF,cv Cabo Verde,32,1993,4,281,3.1,0,0
César Montes,DF,mx Mexico,29,1997,4,314,3.5,0,1
Gonzalo Montiel,DF,ar Argentina,29,1997,6,192,2.1,1,0
Kim Moon-hwan,MF,kr Korea Republic,30,1995,1,70,0.8,0,0
Gilberto Mora,MF,mx Mexico,17,2008,4,213,2.4,0,0
Diego Moreira,MF,be Belgium,21,2004,1,58,0.6,0,0
Steven Moreira,DF,cv Cabo Verde,31,1994,4,301,3.3,0,0
Tshepang Moremi,MF,za South Africa,25,2000,2,34,0.4,0,0
Orlando Mosquera,GK,pa Panama,31,1994,3,270,3.0,0,0
Samir El Mourabet,MF,ma Morocco,20,2005,5,81,0.9,0,0
Samuel Moutoussamy,MF,cd Congo DR,29,1996,4,330,3.7,1,0
Akmal Mozgovoy,MF,uz Uzbekistan,27,1999,3,216,2.4,0,0
Lionel Mpasi,GK,cd Congo DR,31,1994,4,360,4.0,0,0
Khuliso Mudau,DF,za South Africa,31,1995,4,360,4.0,0,0
Tarik Muharemovic,DF,ba Bosnia–Herz,23,2003,3,259,2.9,0,1
Miro Muheim,"DF,MF",ch Switzerland,28,1998,3,87,1.0,1,0
Ngal'Ayel Mukau,MF,cd Congo DR,21,2004,4,195,2.2,0,0
Mert Müldür,DF,tr Türkiye,27,1999,3,101,1.1,0,0
Daniel Muñoz,DF,co Colombia,30,1996,5,394,4.4,0,0
Petar Musa,FW,hr Croatia,28,1998,2,110,1.2,0,0
Jamal Musiala,MF,de Germany,23,2003,4,270,3.0,1,0
Fernando Muslera,GK,uy Uruguay,39,1986,3,225,2.5,0,0
Phillipp Mwene,DF,at Austria,32,1994,2,147,1.6,0,0
David Møller Wolfe,DF,no Norway,24,2002,5,430,4.8,0,0
Yūto Nagatomo,"DF,MF",jp Japan,39,1986,1,16,0.2,0,0
Keito Nakamura,MF,jp Japan,25,2000,4,307,3.4,0,0
Abdallah Nasib,DF,jo Jordan,32,1994,3,260,2.9,0,0
Sherzod Nasrullaev,"DF,MF",uz Uzbekistan,27,1998,3,180,2.0,1,0
Duckens Nazon,"FW,MF",ht Haiti,32,1994,1,24,0.3,1,0
Iliman Ndiaye,FW,sn Senegal,26,2000,3,114,1.3,0,0
Dan Ndoye,"MF,FW",ch Switzerland,25,2000,6,406,4.5,0,0
Jayden Nelson,"FW,MF",ca Canada,23,2002,1,4,0.0,0,0
Ali Nemati,DF,ir IR Iran,30,1996,3,270,3.0,1,0
Abduvohid Nematov,GK,uz Uzbekistan,25,2001,2,180,2.0,0,0
Pedro Neto,MF,pt Portugal,26,2000,5,350,3.9,0,0
Manuel Neuer,GK,de Germany,40,1986,4,390,4.3,0,0
João Neves,MF,pt Portugal,21,2004,5,390,4.3,0,0
Rúben Neves,MF,pt Portugal,29,1997,2,55,0.6,0,0
Neymar,"FW,MF",br Brazil,34,1992,2,39,0.4,1,0
Nathan Ngoy,DF,be Belgium,23,2003,4,335,3.7,0,1
Moussa Niakhaté,DF,sn Senegal,30,1996,4,390,4.3,0,0
Gustaf Nilsson,FW,se Sweden,29,1997,1,2,0.0,0,0
Felix Nmecha,MF,de Germany,25,2000,4,270,3.0,0,0
Kristoffer Nordfeldt,GK,se Sweden,36,1989,2,180,2.0,0,0
Tyrese Noslin,MF,cw Curaçao,23,2002,1,14,0.2,0,0
Ernest Nuamah,MF,gh Ghana,22,2003,3,89,1.0,0,0
Matheus Nunes,"DF,MF",pt Portugal,27,1998,1,1,0.0,0,0
Darwin Núñez,FW,uy Uruguay,26,1999,3,156,1.7,0,0
Antonio Nusa,FW,no Norway,21,2005,6,318,3.5,1,0
Benjamin Nygren,MF,se Sweden,24,2001,4,130,1.4,0,0
Ørjan Nyland,GK,no Norway,35,1990,5,480,5.3,0,0
Aiden O'Neill,MF,au Australia,27,1998,4,360,4.0,0,0
Nico O'Reilly,DF,eng England,21,2005,7,461,5.1,1,0
Salim Obaid,DF,jo Jordan,34,1992,3,21,0.2,0,0
Armando Obispo,DF,cw Curaçao,27,1999,3,270,3.0,0,0
Guillermo Ochoa,GK,mx Mexico,40,1985,1,13,0.1,0,0
Kōki Ogawa,FW,jp Japan,28,1997,3,42,0.5,0,0
Braian Ojeda,MF,py Paraguay,25,2000,1,22,0.2,0,0
Noah Okafor,"FW,MF",ch Switzerland,26,2000,1,20,0.2,0,0
Ime Okon,DF,za South Africa,22,2004,4,360,4.0,0,0
Paul Okon-Engstler,MF,au Australia,21,2005,4,197,2.2,0,0
Ben Old,MF,nz New Zealand,23,2002,3,93,1.0,0,0
Michael Olise,MF,fr France,24,2001,8,646,7.2,1,0
Mathías Olivera,DF,uy Uruguay,28,1997,3,270,3.0,1,0
Dani Olmo,MF,es Spain,28,1998,8,491,5.5,0,0
Tani Oluwaseyi,FW,ca Canada,26,2000,5,259,2.9,0,0
Ali Olwan,MF,jo Jordan,26,2000,3,268,3.0,0,0
Amadou Onana,MF,be Belgium,24,2001,4,106,1.2,0,0
Christopher Opéri,DF,ci Côte d'Ivoire,29,1997,1,90,1.0,0,0
Jerome Opoku,DF,gh Ghana,27,1998,3,270,3.0,0,0
Joel Ordóñez,DF,ec Ecuador,22,2004,3,225,2.5,0,0
Jonathan Osorio,MF,ca Canada,34,1992,2,5,0.1,0,0
Nicolás Otamendi,DF,ar Argentina,38,1988,7,247,2.7,0,0
Zakaria El Ouahdi,"DF,MF",ma Morocco,24,2001,1,17,0.2,0,0
Ayoub Al-Oui,DF,qa Qatar,21,2005,2,149,1.7,0,0
Azzedine Ounahi,MF,ma Morocco,26,2000,6,435,4.8,1,0
Mohammed Al-Owais,GK,sa Saudi Arabia,34,1991,3,270,3.0,0,0
Elisha Owusu,MF,gh Ghana,28,1997,3,151,1.7,0,0
Mikel Oyarzabal,FW,es Spain,29,1997,8,601,6.7,0,0
Salih Özcan,MF,tr Türkiye,28,1998,2,100,1.1,0,0
Willian Pacho,DF,ec Ecuador,24,2001,4,360,4.0,0,0
Kendry Páez,MF,ec Ecuador,19,2007,1,12,0.1,1,0
Exequiel Palacios,DF,ar Argentina,27,1998,1,90,1.0,0,0
Lucas Paquetá,MF,br Brazil,28,1997,4,233,2.6,0,0
Leandro Paredes,MF,ar Argentina,31,1994,7,473,5.3,2,0
Thomas Partey,MF,gh Ghana,33,1993,3,270,3.0,0,0
Marco Pašalić,MF,hr Croatia,25,2000,3,99,1.1,0,0
Mario Pašalić,MF,hr Croatia,31,1995,4,123,1.4,0,0
Nathan Patterson,DF,sct Scotland,24,2001,3,185,2.1,0,0
João Paulo Fernandes,DF,cv Cabo Verde,28,1998,2,105,1.2,0,0
Aleksandar Pavlovic,MF,de Germany,22,2004,4,272,3.0,1,0
Tim Payne,DF,nz New Zealand,32,1994,3,224,2.5,0,0
Nicolás Paz,MF,ar Argentina,21,2004,2,71,0.8,0,0
Marcus Pedersen,DF,no Norway,25,2000,4,236,2.6,0,0
Pedri,MF,es Spain,23,2002,8,499,5.5,1,0
Nicolas Pépé,FW,ci Côte d'Ivoire,31,1995,4,234,2.6,1,0
Ricardo Pepi,FW,us USA,23,2003,5,204,2.3,0,0
Kojo Peprah Oppong,DF,gh Ghana,22,2004,2,49,0.5,1,0
Ivan Perišić,"MF,DF",hr Croatia,37,1989,4,360,4.0,2,0
Jens Petter Hauge,"DF,FW",no Norway,26,1999,1,8,0.1,0,0
Charles Pickel,"DF,MF",cd Congo DR,29,1997,2,35,0.4,1,0
Jordan Pickford,GK,eng England,32,1994,7,660,7.3,0,0
Pico,DF,cv Cabo Verde,33,1992,4,390,4.3,0,0
Frantzdy Pierrot,FW,ht Haiti,31,1995,3,143,1.6,1,0
Kevin Pina,MF,cv Cabo Verde,29,1997,4,349,3.9,1,0
Wagner Pina,DF,cv Cabo Verde,23,2002,1,89,1.0,1,0
Orbelín Pineda,"FW,MF",mx Mexico,30,1996,2,31,0.3,0,0
Yéremy Pino,"FW,MF",es Spain,23,2002,2,70,0.8,0,0
Isidro Pitta,FW,py Paraguay,26,1999,1,45,0.5,0,0
Johny Placide,GK,ht Haiti,38,1988,3,270,3.0,1,0
Gonzalo Plata,FW,ec Ecuador,25,2000,4,360,4.0,1,0
Marin Pongračić,DF,hr Croatia,28,1997,3,270,3.0,0,0
Jackson Porozo,DF,ec Ecuador,25,2000,1,29,0.3,1,0
Pedro Porro,DF,es Spain,26,1999,6,563,6.3,0,0
Stefan Posch,DF,at Austria,29,1997,4,331,3.7,2,0
Alexander Prass,"DF,MF",at Austria,25,2001,2,29,0.3,0,0
Ángelo Preciado,"DF,MF",ec Ecuador,28,1998,4,109,1.2,0,0
Ruben Providence,MF,ht Haiti,24,2001,3,220,2.4,0,0
Lukáš Provod,FW,cz Czechia,29,1996,3,122,1.4,0,0
Marc Pubill,DF,es Spain,22,2003,1,1,0.0,0,0
Gustavo Puerta,MF,co Colombia,22,2003,5,469,5.2,1,0
Christian Pulisic,MF,us USA,27,1998,4,223,2.5,0,0
Ahmed Qasem,"MF,FW",iq Iraq,22,2003,3,123,1.4,0,0
Jarell Quansah,DF,eng England,23,2003,3,197,2.2,1,1
Julián Quiñones,"FW,MF",mx Mexico,29,1997,5,410,4.6,0,0
Alberto Quintero,"FW,MF",pa Panama,38,1987,1,3,0.0,0,0
Juan Quintero,"FW,MF",co Colombia,33,1993,4,121,1.3,0,0
Ramy Rabia,DF,eg Egypt,33,1993,5,372,4.1,0,0
Adrien Rabiot,MF,fr France,31,1995,7,585,6.5,1,0
Stjepan Radeljić,DF,ba Bosnia–Herz,28,1997,2,180,2.0,1,0
Soufiane Rahimi,FW,ma Morocco,30,1996,6,163,1.8,0,0
Abdul Rahman Baba,"DF,MF",gh Ghana,31,1994,1,1,0.0,0,0
Anthony Ralston,DF,sct Scotland,27,1998,2,11,0.1,0,0
Gonçalo Ramos,FW,pt Portugal,24,2001,2,36,0.4,0,0
Jiovany Ramos,DF,pa Panama,29,1997,2,166,1.8,0,0
Jesse Randall,MF,nz New Zealand,23,2002,3,61,0.7,0,0
Raúl Rangel,GK,mx Mexico,26,2000,5,437,4.9,0,0
Raphinha,"MF,FW",br Brazil,29,1996,2,129,1.4,0,0
Nizar Al Rashdan,MF,jo Jordan,27,1999,3,255,2.8,0,0
Marcus Rashford,MF,eng England,28,1997,6,223,2.5,0,0
Nicolas Raskin,MF,be Belgium,25,2001,6,341,3.8,0,0
David Raum,DF,de Germany,28,1998,2,108,1.2,0,0
Noor Al Rawabdeh,MF,jo Jordan,29,1997,3,270,3.0,0,0
Rayan,"FW,MF",br Brazil,19,2006,4,288,3.2,0,0
Iqraam Rayners,FW,za South Africa,30,1995,4,161,1.8,0,0
Tim Ream,DF,us USA,38,1987,4,360,4.0,0,0
Tijjani Reijnders,MF,nl Netherlands,27,1998,3,199,2.2,0,0
Omar Rekik,DF,tn Tunisia,24,2001,2,180,2.0,0,0
Israel Reyes,DF,mx Mexico,26,2000,4,202,2.2,0,0
Gio Reyna,MF,us USA,23,2002,5,131,1.5,0,0
Ramin Rezaeian,"DF,MF",ir IR Iran,36,1990,3,270,3.0,0,0
Chadi Riad,DF,ma Morocco,22,2003,4,344,3.8,0,0
Declan Rice,MF,eng England,27,1999,7,557,6.2,2,0
Chris Richards,DF,us USA,26,2000,4,360,4.0,1,0
Fabian Rieder,"MF,FW",ch Switzerland,24,2002,5,302,3.4,0,0
Richard Ríos,MF,co Colombia,26,2000,5,140,1.6,1,0
Ró-Ró,DF,qa Qatar,35,1990,3,270,3.0,0,0
Andy Robertson,DF,sct Scotland,32,1994,3,225,2.5,1,0
Antonee Robinson,"DF,MF",us USA,28,1997,4,348,3.9,1,0
Miles Robinson,DF,us USA,29,1997,1,90,1.0,0,0
Sergio Rochet,GK,uy Uruguay,33,1993,1,45,0.5,0,0
Rodri,MF,es Spain,29,1996,8,724,8.0,0,0
Garry Rodrigues,MF,cv Cabo Verde,35,1990,2,76,0.8,0,0
Brian Rodríguez,"FW,MF",uy Uruguay,26,2000,3,41,0.5,0,0
James Rodríguez,"FW,MF",co Colombia,34,1991,5,313,3.5,0,0
Kevin Rodríguez,FW,ec Ecuador,26,2000,4,118,1.3,0,0
Ricardo Rodríguez,DF,ch Switzerland,33,1992,6,517,5.7,0,0
Tomás Rodríguez,FW,pa Panama,27,1999,2,46,0.5,0,0
Godfried Roemeratoe,MF,cw Curaçao,26,1999,1,7,0.1,0,0
Morgan Rogers,MF,eng England,23,2002,7,339,3.8,0,0
Cristian Romero,DF,ar Argentina,28,1998,7,608,6.8,2,0
Luis Romo,MF,mx Mexico,31,1995,4,264,2.9,0,0
Cristiano Ronaldo,FW,pt Portugal,41,1985,5,440,4.9,0,0
Eloy Room,GK,cw Curaçao,37,1989,3,270,3.0,0,0
Marten de Roon,"DF,MF",nl Netherlands,35,1991,1,11,0.1,0,0
Saed Al-Rosan,DF,jo Jordan,29,1997,1,10,0.1,0,0
Antonio Rüdiger,DF,de Germany,33,1993,4,262,2.9,0,0
Fabián Ruiz Peña,MF,es Spain,30,1996,8,321,3.6,0,0
Mathew Ryan,GK,au Australia,34,1992,1,2,0.0,0,0
Julian Ryerson,DF,no Norway,28,1997,4,223,2.5,0,0
Elias Saad,"MF,FW",tn Tunisia,26,1999,2,116,1.3,0,0
Marwane Saâdane,"DF,MF",ma Morocco,34,1992,1,4,0.0,0,0
Mustafa Saadoon,DF,iq Iraq,25,2001,1,18,0.2,0,0
Mahmoud Saber,MF,eg Egypt,24,2001,2,46,0.5,1,0
Marcel Sabitzer,MF,at Austria,32,1994,4,360,4.0,1,0
Noah Sadiki,MF,cd Congo DR,21,2004,4,259,2.9,2,0
Michal Sadílek,MF,cz Czechia,27,1999,3,183,2.0,0,0
Alexis Saelemaekers,MF,be Belgium,26,1999,4,83,0.9,0,0
Ismael Saibari,FW,ma Morocco,25,2001,5,381,4.2,0,0
Bukayo Saka,MF,eng England,24,2001,7,358,4.0,0,0
Mohamed Salah,"FW,MF",eg Egypt,33,1992,5,425,4.7,0,0
Anass Salah-Eddine,DF,ma Morocco,24,2002,4,212,2.4,0,0
Nathan Saliba,MF,ca Canada,22,2004,3,182,2.0,1,0
William Saliba,DF,fr France,25,2001,6,479,5.3,0,0
Shurandy Sambo,DF,cw Curaçao,24,2001,1,1,0.0,0,0
Antonio Sanabria,FW,py Paraguay,30,1996,2,83,0.9,0,0
Davinson Sánchez,DF,co Colombia,30,1996,5,480,5.3,1,0
Jorge Sánchez,DF,mx Mexico,28,1997,4,348,3.9,1,0
Alex Sandro,"DF,MF",br Brazil,35,1991,1,9,0.1,0,0
Leroy Sané,MF,de Germany,30,1996,4,326,3.6,0,0
Ibrahim Sangaré,MF,ci Côte d'Ivoire,28,1997,4,268,3.0,0,0
Kaishū Sano,MF,jp Japan,25,2000,3,270,3.0,1,0
Danilo Santos,MF,br Brazil,25,2001,4,46,0.5,0,0
Douglas Santos,DF,br Brazil,32,1994,5,441,4.9,1,0
Bara Sapoko Ndiaye,MF,sn Senegal,18,2007,1,26,0.3,0,0
Ismaila Sarr,"MF,FW",sn Senegal,28,1998,4,364,4.0,0,0
Farrukh Sayfiev,"DF,MF",uz Uzbekistan,35,1991,1,45,0.5,0,0
Amine Sbai,"FW,MF",ma Morocco,25,2000,1,6,0.1,0,0
Joe Scally,DF,us USA,23,2002,2,87,1.0,0,0
Patrik Schick,FW,cz Czechia,30,1996,3,180,2.0,0,0
Andreas Schjelderup,FW,no Norway,22,2004,6,252,2.8,0,0
Alexander Schlager,GK,at Austria,30,1996,4,360,4.0,0,0
Xaver Schlager,MF,at Austria,28,1997,4,238,2.6,0,0
Nico Schlotterbeck,DF,de Germany,26,1999,2,135,1.5,0,0
Romano Schmid,"MF,FW",at Austria,26,2000,4,263,2.9,0,0
Kamogelo Sebelebele,"DF,MF",za South Africa,23,2002,1,7,0.1,0,0
Abdoulaye Seck,DF,sn Senegal,34,1992,1,57,0.6,1,0
Alidu Seidu,DF,gh Ghana,26,2000,1,78,0.9,1,0
Nicolas Seiwald,MF,at Austria,25,2001,4,315,3.5,0,0
Ayumu Seko,DF,jp Japan,26,2000,2,86,1.0,0,0
Egil Selvik,GK,no Norway,28,1997,1,90,1.0,0,0
Ken Sema,"FW,MF",se Sweden,32,1993,1,16,0.2,0,0
Nélson Semedo,"DF,MF",pt Portugal,32,1993,4,127,1.4,1,0
Willy Semedo,FW,cv Cabo Verde,32,1994,3,131,1.5,0,0
Antoine Semenyo,"MF,FW",gh Ghana,26,2000,4,360,4.0,0,0
Marvin Senaya,DF,gh Ghana,25,2001,4,278,3.1,0,0
Marcos Senesi,DF,ar Argentina,29,1997,2,109,1.2,0,0
Igor Sergeev,FW,uz Uzbekistan,33,1993,3,28,0.3,0,0
Jean Seri,MF,ci Côte d'Ivoire,34,1991,1,14,0.2,0,0
Kim Seung-gyu,GK,kr Korea Republic,35,1990,3,270,3.0,0,0
Paik Seung-ho,MF,kr Korea Republic,29,1997,3,204,2.3,1,0
Joaquin Seys,DF,be Belgium,21,2005,1,30,0.3,0,0
Jacob Shaffelburg,MF,ca Canada,26,1999,5,92,1.0,0,0
Mohammed Abu Al-Shamat,MF,sa Saudi Arabia,23,2002,3,136,1.5,0,0
Lawrence Shankland,FW,sct Scotland,30,1995,2,171,1.9,0,0
Sharara,FW,jo Jordan,28,1997,2,2,0.0,1,0
Aimar Sher,MF,iq Iraq,23,2002,1,23,0.3,0,0
Kento Shiogai,FW,jp Japan,21,2005,1,7,0.1,0,0
Mostafa Shobeir,GK,eg Egypt,26,2000,5,480,5.3,1,0
Eldor Shomurodov,FW,uz Uzbekistan,30,1995,3,269,3.0,0,0
Otabek Shukurov,MF,uz Uzbekistan,29,1996,3,237,2.6,0,0
Nkosinathi Sibisi,DF,za South Africa,30,1995,1,90,1.0,1,0
Kwasi Sibo,MF,gh Ghana,27,1998,4,248,2.8,0,0
Niko Sigur,MF,ca Canada,22,2003,3,126,1.4,1,0
Bernardo Silva,MF,pt Portugal,31,1994,4,97,1.1,2,0
Éderson Silva,MF,br Brazil,26,1999,2,22,0.2,0,0
Giuliano Simeone,FW,ar Argentina,23,2002,3,192,2.1,0,0
Dominique Simon,MF,ht Haiti,25,2000,2,56,0.6,0,0
Unai Simón,GK,es Spain,29,1997,8,750,8.3,0,0
Sarpreet Singh,MF,nz New Zealand,27,1999,3,209,2.3,1,0
Wilfried Singo,DF,ci Côte d'Ivoire,25,2000,2,171,1.9,0,0
Sphephelo Sithole,MF,za South Africa,27,1999,3,229,2.5,0,1
Ellyes Skhiri,"MF,DF",tn Tunisia,31,1995,3,250,2.8,0,0
Alexandr Sojka,"MF,DF",cz Czechia,23,2003,3,141,1.6,0,0
Ramón Sosa,"FW,MF",py Paraguay,26,1999,1,12,0.1,0,0
Tomáš Souček,MF,cz Czechia,31,1995,3,137,1.5,0,0
Harry Souttar,DF,au Australia,27,1998,4,390,4.3,1,0
Djibril Sow,MF,ch Switzerland,29,1997,4,253,2.8,0,0
Çağlar Söyüncü,DF,tr Türkiye,30,1996,1,7,0.1,0,0
Djed Spence,DF,eng England,25,2000,8,404,4.5,0,0
Marko Stamenic,MF,nz New Zealand,24,2002,3,269,3.0,1,0
Josip Stanišić,"DF,MF",hr Croatia,26,2000,4,360,4.0,0,0
Carl Starfelt,DF,se Sweden,31,1995,1,4,0.0,0,0
Ross Stewart,FW,sct Scotland,29,1996,1,2,0.0,0,0
Angelo Stiller,MF,de Germany,25,2001,1,45,0.5,0,0
John Stones,DF,eng England,32,1994,5,330,3.7,0,0
Jørgen Strand Larsen,FW,no Norway,26,2000,2,105,1.2,0,0
Elliot Stroud,MF,se Sweden,23,2002,4,166,1.8,0,0
Luis Suárez,FW,co Colombia,28,1997,5,331,3.7,1,0
Luka Sučić,"FW,MF",hr Croatia,23,2002,1,19,0.2,0,0
Petar Sučić,"MF,FW",hr Croatia,22,2003,4,289,3.2,1,0
Yukinari Sugawara,MF,jp Japan,25,2000,4,148,1.6,0,0
Rebin Sulaka,DF,iq Iraq,34,1992,2,43,0.5,0,1
Pavel Šulc,FW,cz Czechia,25,2000,3,189,2.1,0,0
Kamaldeen Sulemana,"MF,FW",gh Ghana,24,2002,2,127,1.4,0,0
Crysencio Summerville,FW,nl Netherlands,24,2001,4,253,2.8,1,0
Ivan Šunjić,MF,ba Bosnia–Herz,29,1996,4,196,2.2,0,0
Finn Surman,DF,nz New Zealand,22,2003,3,270,3.0,0,0
Josip Šutalo,DF,hr Croatia,26,2000,4,360,4.0,0,0
Junnosuke Suzuki,DF,jp Japan,22,2003,2,43,0.5,1,0
Yuito Suzuki,"FW,MF",jp Japan,24,2001,1,12,0.1,0,0
Zion Suzuki,GK,jp Japan,23,2002,4,360,4.0,0,0
Mattias Svanberg,MF,se Sweden,27,1999,2,16,0.2,0,0
Daniel Svensson,DF,se Sweden,24,2002,3,98,1.1,0,0
Alexander Sørloth,FW,no Norway,30,1995,5,337,3.7,0,0
Musa Al-Taamari,FW,jo Jordan,29,1997,3,215,2.4,0,0
Haris Tabaković,FW,ba Bosnia–Herz,31,1994,1,16,0.2,0,0
Lee Tae-seok,MF,kr Korea Republic,23,2002,2,113,1.3,0,0
Nicolás Tagliafico,DF,ar Argentina,33,1992,7,476,5.3,0,0
Jonathan Tah,DF,de Germany,30,1996,4,372,4.1,0,0
Benjamin Tahirovic,MF,ba Bosnia–Herz,23,2003,4,237,2.6,0,0
Zaid Tahseen,DF,iq Iraq,25,2001,2,149,1.7,1,0
Chemsdine Talbi,MF,ma Morocco,21,2005,5,179,2.0,0,0
Montassar Talbi,DF,tn Tunisia,28,1998,3,270,3.0,0,0
Hassan Al Tambakti,DF,sa Saudi Arabia,27,1999,3,212,2.4,0,0
Ao Tanaka,MF,jp Japan,27,1998,3,193,2.1,0,0
Shogo Taniguchi,DF,jp Japan,34,1991,3,232,2.6,1,0
Mehdi Taremi,FW,ir IR Iran,33,1992,3,259,2.9,0,0
Aurélien Tchouaméni,MF,fr France,26,2000,4,360,4.0,1,0
Arthur Theate,DF,be Belgium,26,2000,3,228,2.5,0,0
Igor Thiago,FW,br Brazil,24,2001,1,61,0.7,0,0
Malick Thiaw,"DF,MF",de Germany,24,2001,2,42,0.5,0,0
Ryan Thomas,MF,nz New Zealand,31,1994,3,83,0.9,0,0
Brandon Thomas-Asante,"FW,MF",gh Ghana,27,1998,2,53,0.6,0,0
Morten Thorsby,MF,no Norway,30,1996,1,45,0.5,0,0
Kristian Thorstvedt,MF,no Norway,27,1999,2,63,0.7,0,0
Marcus Thuram,"FW,MF",fr France,28,1997,1,1,0.0,0,0
Youri Tielemans,MF,be Belgium,29,1997,5,474,5.3,0,0
Kieran Tierney,MF,sct Scotland,29,1997,2,104,1.2,0,0
Guus Til,"FW,MF",nl Netherlands,28,1997,1,32,0.4,0,0
Malik Tillman,MF,us USA,24,2002,5,356,4.0,1,0
Quinten Timber,MF,nl Netherlands,24,2001,2,55,0.6,0,0
Takehiro Tomiyasu,DF,jp Japan,27,1998,3,184,2.0,0,0
Ivan Toney,FW,eng England,30,1996,2,79,0.9,0,0
